epoch,train_loss,val_loss,train_acc,val_acc
1,0.7066869696763557,0.6283469851731653,0.6953346456692914,0.7454330708661417
2,0.6043727370744615,0.5718880217681904,0.744744094488189,0.7581102362204725
3,0.5734166636147837,0.5601493289098332,0.7593307086614173,0.7662204724409449
4,0.5523941175440165,0.5534326670602226,0.7689074803149606,0.7677952755905512
5,0.5384572095946064,0.5179307364884492,0.7752362204724409,0.7888188976377952
6,0.5265049042007116,0.5201680913042062,0.7790748031496063,0.7815748031496063
7,0.5187574831988868,0.5123883820976358,0.784763779527559,0.7905511811023622
8,0.5095904913896651,0.5075115362552912,0.7876476377952756,0.7908267716535433
9,0.501945020744181,0.5021010770530484,0.7907381889763779,0.7960629921259843
10,0.4987566971919668,0.48526505992679814,0.7916830708661418,0.8015748031496063
11,0.492323323732286,0.5051972077648045,0.7957283464566929,0.7822834645669291
12,0.4857261195286052,0.48529721109632884,0.7980905511811024,0.8004330708661417
13,0.48308386662813624,0.4844341552828061,0.8004330708661417,0.7924803149606299
14,0.4788157768582735,0.47178470232624853,0.8018307086614174,0.8067322834645669
15,0.4752548833015397,0.48357690352787,0.8031200787401575,0.8056299212598426
16,0.4692575672010737,0.474519751815862,0.8053641732283464,0.8021653543307087
17,0.4678228251858959,0.48083291232811115,0.8060629921259842,0.8011023622047244
18,0.46367158804352826,0.4601708571579054,0.8087401574803149,0.8061023622047244
19,0.46089838261210075,0.4725630113324831,0.8083858267716535,0.8085826771653544
20,0.4563228260250542,0.4485496971709302,0.8123622047244095,0.8189370078740158
21,0.45353911719922946,0.4447201851295584,0.8132677165354331,0.8197244094488189
22,0.45146631339403587,0.4699258873196933,0.8138779527559055,0.8008661417322834
23,0.4488374005058619,0.4534144308840298,0.8135925196850393,0.8159055118110237
24,0.44671383343812987,0.45318997041404396,0.8157972440944882,0.8133464566929134
25,0.4430196533146806,0.46283744838586083,0.8179724409448819,0.8125590551181102
26,0.4405422538894368,0.4409942830201961,0.8186122047244094,0.8167322834645669
27,0.43795468229947127,0.45768798885852924,0.8191043307086614,0.8123228346456693
28,0.4359871996880516,0.45139414085173785,0.8211023622047244,0.8114566929133858
29,0.43177784765799215,0.44291363757863755,0.8218700787401575,0.8193307086614173
30,0.43108771414738,0.4418754718953776,0.8217913385826772,0.8189763779527559
31,0.4271728162455746,0.4530508259982246,0.8237007874015748,0.812992125984252
32,0.4271805344909195,0.42283898670817505,0.8253248031496063,0.8231102362204724
33,0.4244335687418622,0.4234368355020468,0.8244389763779527,0.8251574803149606
34,0.4234707524081853,0.42980928889825304,0.8259350393700787,0.8193307086614173
35,0.42089652541584854,0.4215714756202337,0.8281988188976378,0.8273228346456692
36,0.42067791851017416,0.42777989648976916,0.8257972440944882,0.8254724409448819
37,0.4172099615950284,0.41282318057656586,0.8280314960629921,0.8309842519685039
38,0.41513771800309657,0.41555282429461216,0.8296751968503937,0.8297244094488189
39,0.41517900981067674,0.4098220485396289,0.8296358267716536,0.830511811023622
40,0.4141047407651511,0.40860515836654443,0.829005905511811,0.8310236220472441
41,0.41340736215274165,0.40226661898101906,0.830511811023622,0.8343700787401575
42,0.41006273891043477,0.41062436723889273,0.8321259842519685,0.8306692913385827
43,0.40760843800747487,0.42107633737758066,0.8313779527559055,0.8311023622047244
44,0.4071439808583635,0.40593727225770876,0.8311220472440944,0.835511811023622
