,EER
"(0, 0)",38.33
"(0, 1)",38.87
"(0, 2)",38.93
"(0, 3)",38.78
"(1, 0)",38.85
"(1, 1)",39.05
"(1, 2)",38.92
"(1, 3)",40.49
"(1, 4)",38.81
"(1, 5)",39.27
