,EER
"(0, 0)",20.24
"(0, 1)",20.52
"(0, 2)",20.78
"(0, 3)",19.74
"(1, 0)",19.76
"(1, 1)",20.56
"(1, 2)",22.06
"(1, 3)",20.07
"(1, 4)",19.62
"(1, 5)",20.06
