,EER
"(0, 0)",32.78
"(0, 1)",33.06
"(0, 2)",33.5
"(0, 3)",33.2
"(1, 0)",32.75
"(1, 1)",33.24
"(1, 2)",33.53
"(1, 3)",34.04
"(1, 4)",33.28
"(1, 5)",33.4
