,EER
"(0, 0)",35.32
"(0, 1)",35.63
"(0, 2)",35.95
"(0, 3)",35.29
"(1, 0)",35.3
"(1, 1)",36.12
"(1, 2)",35.46
"(1, 3)",37.55
"(1, 4)",35.38
"(1, 5)",36.39
