,EER
"(0, 0)",34.29
"(0, 1)",34.39
"(0, 2)",34.86
"(0, 3)",34.57
"(1, 0)",34.09
"(1, 1)",34.51
"(1, 2)",34.88
"(1, 3)",34.7
"(1, 4)",34.65
"(1, 5)",34.61
