,EER
"(0, 0)",29.47
"(0, 1)",28.78
"(0, 2)",31.55
"(0, 3)",30.18
"(1, 0)",27.05
"(1, 1)",29.05
"(1, 2)",31.81
"(1, 3)",25.59
"(1, 4)",30.67
"(1, 5)",29.07
