,EER
"(0, 0)",32.47
"(0, 1)",33.97
"(0, 2)",33.49
"(0, 3)",32.95
"(1, 0)",33.35
"(1, 1)",34.07
"(1, 2)",35.82
"(1, 3)",36.5
"(1, 4)",32.25
"(1, 5)",33.8
