,EER
"(0, 0)",24.92
"(0, 1)",24.97
"(0, 2)",26.26
"(0, 3)",24.98
"(1, 0)",24.29
"(1, 1)",25.03
"(1, 2)",27.85
"(1, 3)",22.9
"(1, 4)",24.7
"(1, 5)",24.45
