,EER
"(0, 0)",25.75
"(0, 1)",26.21
"(0, 2)",26.76
"(0, 3)",25.16
"(1, 0)",25.51
"(1, 1)",26.81
"(1, 2)",27.96
"(1, 3)",28.67
"(1, 4)",24.86
"(1, 5)",26.52
