epoch,train_loss,val_loss,train_acc,val_acc
1,0.8733101304497306,0.8177108526680271,0.6134645669291339,0.6329133858267717
2,0.7864120774663339,0.7443394483787287,0.6482874015748031,0.6696062992125984
3,0.749150085083143,0.7292422785116383,0.6684251968503937,0.6758661417322834
4,0.7236323899359215,0.7349228700552539,0.6798425196850394,0.6731496062992126
5,0.7043745807963093,0.7127680894860092,0.6891141732283464,0.683228346456693
6,0.6892723016663799,0.7190127860689043,0.6936614173228346,0.6818110236220473
7,0.6772955902354924,0.7109190239488928,0.7004625984251969,0.6912598425196851
8,0.6652920201350385,0.6917448454074355,0.7067913385826772,0.6931102362204724
9,0.6567503416444372,0.6457860428154919,0.7107972440944882,0.7233858267716535
10,0.6496516042056046,0.6347360790376398,0.7145866141732283,0.7187007874015748
11,0.6417429471109796,0.6406841806185336,0.718484251968504,0.7236614173228346
12,0.6355836319360207,0.6342935387974121,0.7221948818897638,0.7280314960629921
13,0.6300529959633594,0.6450521193763772,0.7242618110236221,0.7246062992125984
14,0.6232971515711837,0.6271319658464989,0.7263582677165354,0.7192125984251968
15,0.618822536421573,0.6948954410081546,0.728484251968504,0.6946062992125984
16,0.613882101342434,0.6130131441790151,0.7301968503937007,0.7362992125984252
17,0.6086051049054139,0.6114173635877951,0.7338287401574803,0.7365748031496063
18,0.6044705207329096,0.6071633531780026,0.7345669291338582,0.7324803149606299
19,0.599183883629446,0.6048703226131816,0.7379330708661417,0.7373228346456693
20,0.5960439911883647,0.611886598657751,0.738484251968504,0.7366141732283464
21,0.5921984090955239,0.5915751882854577,0.7405314960629922,0.7432283464566929
22,0.5888620148962876,0.6053060513149281,0.7422342519685039,0.7330708661417323
23,0.5857896013898174,0.5924293337300682,0.7426870078740158,0.7406299212598425
24,0.5824198811776995,0.5923586839467512,0.7456003937007875,0.7448818897637796
25,0.5775593908706049,0.590119068095606,0.7465452755905512,0.7474015748031496
26,0.5742759597864676,0.5973035161681379,0.74876968503937,0.7403149606299213
27,0.5737766861633992,0.5876113026771197,0.7485826771653543,0.7398425196850393
28,0.5680318426522682,0.5659811689098476,0.7524015748031496,0.7575984251968504
29,0.5666480187074406,0.5795588493910184,0.7511122047244094,0.751496062992126
30,0.5622582425752024,0.5638849414340795,0.7534547244094488,0.7546062992125985
31,0.5605077368021011,0.5724754657793405,0.7553149606299212,0.7497244094488189
32,0.5589116528419059,0.5614175807769113,0.7553248031496063,0.7585433070866142
33,0.5548167183830982,0.5643932704323485,0.757253937007874,0.756496062992126
