,EER
"(0, 0)",17.64
"(0, 1)",18.01
"(0, 2)",17.83
"(0, 3)",17.74
"(1, 0)",19.25
"(1, 1)",17.99
"(1, 2)",18.22
"(1, 3)",19.85
"(1, 4)",17.37
"(1, 5)",17.72
