,EER
"(0, 0)",33.55
"(0, 1)",33.77
"(0, 2)",33.9
"(0, 3)",33.59
"(1, 0)",33.68
"(1, 1)",34.06
"(1, 2)",33.6
"(1, 3)",34.82
"(1, 4)",33.63
"(1, 5)",34.21
