,EER
"(0, 0)",13.79
"(0, 1)",13.33
"(0, 2)",13.62
"(0, 3)",12.98
"(1, 0)",13.66
"(1, 1)",13.4
"(1, 2)",12.61
"(1, 3)",14.63
"(1, 4)",12.76
"(1, 5)",13.17
