,EER
"(0, 0)",23.19
"(0, 1)",23.36
"(0, 2)",23.06
"(0, 3)",23.22
"(1, 0)",23.55
"(1, 1)",23.41
"(1, 2)",22.96
"(1, 3)",24.06
"(1, 4)",23.19
"(1, 5)",23.47
