,EER
"(0, 0)",32.99
"(0, 1)",33.27
"(0, 2)",33.19
"(0, 3)",33.19
"(1, 0)",33.35
"(1, 1)",33.36
"(1, 2)",33.14
"(1, 3)",34.16
"(1, 4)",33.19
"(1, 5)",33.48
