,EER
"(0, 0)",31.01
"(0, 1)",31.52
"(0, 2)",31.47
"(0, 3)",31.42
"(1, 0)",31.59
"(1, 1)",31.7
"(1, 2)",31.42
"(1, 3)",33.16
"(1, 4)",31.43
"(1, 5)",31.9
