,EER
"(0, 0)",28.39
"(0, 1)",28.5
"(0, 2)",29.62
"(0, 3)",26.77
"(1, 0)",28.21
"(1, 1)",30.33
"(1, 2)",26.89
"(1, 3)",35.31
"(1, 4)",26.72
"(1, 5)",30.87
