,EER
"(0, 0)",24.51
"(0, 1)",24.76
"(0, 2)",24.6
"(0, 3)",24.66
"(1, 0)",24.88
"(1, 1)",24.84
"(1, 2)",24.53
"(1, 3)",25.68
"(1, 4)",24.66
"(1, 5)",24.94
