,EER
"(0, 0)",15.04
"(0, 1)",15.17
"(0, 2)",15.03
"(0, 3)",14.89
"(1, 0)",15.95
"(1, 1)",15.17
"(1, 2)",15.01
"(1, 3)",16.37
"(1, 4)",14.69
"(1, 5)",14.95
