,EER
"(0, 0)",43.29
"(0, 1)",29.47
"(0, 2)",31.42
"(0, 3)",31.56
"(1, 0)",42.72
"(1, 1)",26.02
"(1, 2)",33.52
"(1, 3)",32.44
"(1, 4)",29.89
"(1, 5)",29.91
