,EER
"(0, 0)",53.24
"(0, 1)",36.83
"(0, 2)",34.72
"(0, 3)",34.74
"(1, 0)",36.52
"(1, 1)",34.11
"(1, 2)",34.16
"(1, 3)",35.26
"(1, 4)",33.92
"(1, 5)",34.15
