,EER
"(0, 0)",54.44
"(0, 1)",29.56
"(0, 2)",28.24
"(0, 3)",28.77
"(1, 0)",32.32
"(1, 1)",31.22
"(1, 2)",29.19
"(1, 3)",29.6
"(1, 4)",29.21
"(1, 5)",29.29
