,EER
"(0, 0)",51.44
"(0, 1)",30.19
"(0, 2)",26.14
"(0, 3)",24.26
"(1, 0)",42.76
"(1, 1)",30.08
"(1, 2)",26.38
"(1, 3)",27.59
"(1, 4)",24.43
"(1, 5)",25.01
