,EER
"(0, 0)",52.06
"(0, 1)",29.63
"(0, 2)",28.33
"(0, 3)",28.15
"(1, 0)",39.47
"(1, 1)",31.26
"(1, 2)",28.23
"(1, 3)",29.14
"(1, 4)",28.28
"(1, 5)",28.49
