,EER
"(0, 0)",53.57
"(0, 1)",31.82
"(0, 2)",28.19
"(0, 3)",27.41
"(1, 0)",32.08
"(1, 1)",28.48
"(1, 2)",28.97
"(1, 3)",29.46
"(1, 4)",26.9
"(1, 5)",27.14
