,EER
"(0, 0)",51.87
"(0, 1)",24.52
"(0, 2)",20.57
"(0, 3)",21.33
"(1, 0)",33.02
"(1, 1)",26.13
"(1, 2)",21.08
"(1, 3)",20.94
"(1, 4)",21.78
"(1, 5)",21.7
