,EER
"(0, 0)",55.36
"(0, 1)",21.61
"(0, 2)",20.45
"(0, 3)",20.78
"(1, 0)",31.08
"(1, 1)",21.73
"(1, 2)",20.47
"(1, 3)",21.53
"(1, 4)",20.88
"(1, 5)",21.0
