,EER
"(0, 0)",41.37
"(0, 1)",17.34
"(0, 2)",16.47
"(0, 3)",15.16
"(1, 0)",30.99
"(1, 1)",18.69
"(1, 2)",15.4
"(1, 3)",17.44
"(1, 4)",15.43
"(1, 5)",15.92
