,EER
"(0, 0)",52.51
"(0, 1)",37.36
"(0, 2)",29.09
"(0, 3)",28.01
"(1, 0)",33.71
"(1, 1)",31.91
"(1, 2)",29.83
"(1, 3)",29.91
"(1, 4)",27.53
"(1, 5)",27.47
