,EER
"(0, 0)",27.25
"(0, 1)",27.41
"(0, 2)",26.8
"(0, 3)",27.04
"(1, 0)",27.68
"(1, 1)",27.3
"(1, 2)",26.71
"(1, 3)",27.71
"(1, 4)",27.04
"(1, 5)",27.4
