,EER
"(0, 0)",16.42
"(0, 1)",16.59
"(0, 2)",16.77
"(0, 3)",15.43
"(1, 0)",17.2
"(1, 1)",16.67
"(1, 2)",16.28
"(1, 3)",18.14
"(1, 4)",15.77
"(1, 5)",16.13
