,EER
"(0, 0)",29.93
"(0, 1)",30.48
"(0, 2)",30.49
"(0, 3)",30.32
"(1, 0)",30.49
"(1, 1)",30.63
"(1, 2)",30.46
"(1, 3)",32.01
"(1, 4)",30.37
"(1, 5)",30.83
