,EER
"(0, 0)",18.65
"(0, 1)",18.88
"(0, 2)",18.74
"(0, 3)",17.88
"(1, 0)",19.85
"(1, 1)",18.83
"(1, 2)",18.54
"(1, 3)",20.54
"(1, 4)",18.02
"(1, 5)",18.44
