,EER
"(0, 0)",30.5
"(0, 1)",30.46
"(0, 2)",30.66
"(0, 3)",26.03
"(1, 0)",32.13
"(1, 1)",30.47
"(1, 2)",27.81
"(1, 3)",33.79
"(1, 4)",27.25
"(1, 5)",28.21
