,EER
"(0, 0)",37.43
"(0, 1)",37.99
"(0, 2)",38.12
"(0, 3)",37.92
"(1, 0)",37.96
"(1, 1)",38.19
"(1, 2)",38.1
"(1, 3)",39.71
"(1, 4)",37.97
"(1, 5)",38.41
