,EER
"(0, 0)",30.96
"(0, 1)",31.56
"(0, 2)",31.7
"(0, 3)",31.47
"(1, 0)",31.52
"(1, 1)",31.77
"(1, 2)",31.68
"(1, 3)",33.34
"(1, 4)",31.53
"(1, 5)",32.01
