,EER
"(0, 0)",21.5
"(0, 1)",21.73
"(0, 2)",22.4
"(0, 3)",20.34
"(1, 0)",22.5
"(1, 1)",22.2
"(1, 2)",21.65
"(1, 3)",24.74
"(1, 4)",20.56
"(1, 5)",21.56
