,EER
"(0, 0)",32.22
"(0, 1)",32.49
"(0, 2)",32.69
"(0, 3)",32.31
"(1, 0)",32.35
"(1, 1)",32.76
"(1, 2)",32.43
"(1, 3)",33.68
"(1, 4)",32.37
"(1, 5)",32.94
