,EER
"(0, 0)",41.21
"(0, 1)",39.43
"(0, 2)",40.21
"(0, 3)",40.67
"(1, 0)",41.4
"(1, 1)",39.16
"(1, 2)",39.88
"(1, 3)",42.32
"(1, 4)",40.23
"(1, 5)",41.75
