,EER
"(0, 0)",35.51
"(0, 1)",36.12
"(0, 2)",32.67
"(0, 3)",34.51
"(1, 0)",38.09
"(1, 1)",35.68
"(1, 2)",32.42
"(1, 3)",38.35
"(1, 4)",33.45
"(1, 5)",35.27
