,EER
"(0, 0)",40.92
"(0, 1)",41.36
"(0, 2)",40.18
"(0, 3)",40.78
"(1, 0)",41.91
"(1, 1)",41.3
"(1, 2)",40.06
"(1, 3)",42.5
"(1, 4)",40.46
"(1, 5)",41.29
