,EER
"(0, 0)",45.38
"(0, 1)",46.1
"(0, 2)",45.07
"(0, 3)",45.54
"(1, 0)",46.71
"(1, 1)",46.17
"(1, 2)",44.99
"(1, 3)",48.21
"(1, 4)",45.28
"(1, 5)",46.28
