,EER
"(0, 0)",39.88
"(0, 1)",40.18
"(0, 2)",39.22
"(0, 3)",39.75
"(1, 0)",40.81
"(1, 1)",40.11
"(1, 2)",39.14
"(1, 3)",41.24
"(1, 4)",39.43
"(1, 5)",40.08
