,EER
"(0, 0)",39.72
"(0, 1)",38.21
"(0, 2)",37.94
"(0, 3)",38.83
"(1, 0)",40.49
"(1, 1)",37.76
"(1, 2)",36.96
"(1, 3)",40.26
"(1, 4)",38.15
"(1, 5)",40.19
