,EER
"(0, 0)",45.84
"(0, 1)",46.23
"(0, 2)",45.58
"(0, 3)",46.02
"(1, 0)",46.77
"(1, 1)",46.2
"(1, 2)",45.59
"(1, 3)",47.51
"(1, 4)",45.82
"(1, 5)",46.23
