,EER
"(0, 0)",49.79
"(0, 1)",50.9
"(0, 2)",51.62
"(0, 3)",50.13
"(1, 0)",51.72
"(1, 1)",51.05
"(1, 2)",49.93
"(1, 3)",54.77
"(1, 4)",49.72
"(1, 5)",51.29
