,EER
"(0, 0)",44.87
"(0, 1)",45.95
"(0, 2)",46.02
"(0, 3)",45.81
"(1, 0)",46.04
"(1, 1)",46.31
"(1, 2)",45.96
"(1, 3)",48.21
"(1, 4)",45.78
"(1, 5)",46.55
