,EER
"(0, 0)",48.81
"(0, 1)",49.74
"(0, 2)",49.7
"(0, 3)",49.58
"(1, 0)",49.83
"(1, 1)",50.04
"(1, 2)",49.65
"(1, 3)",52.17
"(1, 4)",49.53
"(1, 5)",50.28
