,EER
"(0, 0)",39.61
"(0, 1)",40.44
"(0, 2)",40.23
"(0, 3)",40.85
"(1, 0)",41.0
"(1, 1)",40.3
"(1, 2)",41.02
"(1, 3)",41.93
"(1, 4)",40.76
"(1, 5)",40.24
