,EER
"(0, 0)",56.88
"(0, 1)",59.06
"(0, 2)",60.64
"(0, 3)",58.54
"(1, 0)",57.18
"(1, 1)",59.23
"(1, 2)",60.56
"(1, 3)",63.68
"(1, 4)",57.6
"(1, 5)",61.95
