,EER
"(0, 0)",49.47
"(0, 1)",51.15
"(0, 2)",52.43
"(0, 3)",50.17
"(1, 0)",48.78
"(1, 1)",51.52
"(1, 2)",51.5
"(1, 3)",55.51
"(1, 4)",49.73
"(1, 5)",54.2
