,EER
"(0, 0)",38.98
"(0, 1)",41.24
"(0, 2)",40.53
"(0, 3)",42.18
"(1, 0)",42.06
"(1, 1)",40.84
"(1, 2)",42.57
"(1, 3)",45.07
"(1, 4)",41.86
"(1, 5)",40.86
