,EER
"(0, 0)",38.43
"(0, 1)",40.4
"(0, 2)",40.66
"(0, 3)",39.93
"(1, 0)",40.6
"(1, 1)",41.33
"(1, 2)",40.13
"(1, 3)",49.13
"(1, 4)",39.74
"(1, 5)",42.21
