,EER
"(0, 0)",39.16
"(0, 1)",41.22
"(0, 2)",41.44
"(0, 3)",40.95
"(1, 0)",41.41
"(1, 1)",42.18
"(1, 2)",41.3
"(1, 3)",50.48
"(1, 4)",40.85
"(1, 5)",42.74
