,EER
"(0, 0)",40.66
"(0, 1)",41.4
"(0, 2)",41.48
"(0, 3)",41.3
"(1, 0)",41.48
"(1, 1)",41.72
"(1, 2)",41.42
"(1, 3)",44.38
"(1, 4)",41.26
"(1, 5)",41.93
